998,2995,4990,9928
the	ð ə
awesome	ɑ s ə m
colonialism	k ə ɫ oʊ n i ə ɫ ɪ z ə m
zinc	z ɪ ŋ k
starch	s t ɑ ɹ tʃ
cunning	k ʌ n ɪ ŋ
insofar	ɪ n s ə f ɑ ɹ
fore	f ɔ ɹ
motionless	m oʊ ʃ ə n ɫ ə s
charitable	tʃ æ ɹ ə t ə b ə ɫ
chimney	tʃ ɪ m n i
nowadays	n aʊ ə d eɪ z
auxiliary	ɑ ɡ z ɪ ɫ j ɝ i
pastoral	p æ s t ɝ ə ɫ
garment	ɡ ɑ ɹ m ə n t
airplane	ɛ ɹ p ɫ eɪ n
famine	f æ m ə n
rob	ɹ ɑ b
suture	s u tʃ ɝ
fellowship	f ɛ ɫ oʊ ʃ ɪ p
accessibility	æ k s ɛ s ə b ɪ ɫ ɪ t i
porous	p ɔ ɹ ə s
comfortably	k ʌ m f ɝ t ə b ɫ i
antagonist	æ n t æ ɡ ə n ə s t
kneel	n i ɫ
mystical	m ɪ s t ɪ k ə ɫ
perpendicular	p ɝ p ə n d ɪ k j ə ɫ ɝ
nicely	n aɪ s ɫ i
affirmation	æ f ɝ m eɪ ʃ ə n
mule	m j u ɫ
heterogeneity	h ɛ t ɝ ə dʒ ɪ n i ə t i
teenage	t i n eɪ dʒ
onwards	ɑ n w ɝ d z
detachment	d ɪ t æ tʃ m ə n t
unusually	ə n j u ʒ u ə ɫ i
martyr	m ɑ ɹ t ɝ
authoritative	ə θ ɔ ɹ ə t eɪ t ɪ v
shark	ʃ ɑ ɹ k
internationally	ɪ n t ɝ n æ ʃ ə n ə ɫ i
smash	s m æ ʃ
submarine	s ʌ b m ɝ i n
liberalism	ɫ ɪ b ɝ ə ɫ ɪ z ə m
sequential	s ə k w ɛ n ʃ ə ɫ
antibiotic	æ n t i b aɪ ɑ t ɪ k
nipple	n ɪ p ə ɫ
tailor	t eɪ ɫ ɝ
transverse	t ɹ æ n z v ɝ s
referral	ɹ ɪ f ɝ ə ɫ
cardinal	k ɑ ɹ d ə n ə ɫ
modulus	m ɔ dʒ u ɫ ʊ s
artwork	ɑ ɹ t w ɝ k
seminar	s ɛ m ə n ɑ ɹ
battalion	b ə t æ ɫ j ə n
bearer	b ɛ ɹ ɝ
bourgeois	b ʊ ɹ ʒ w ɑ
interrogation	ɪ n t ɛ ɹ ə ɡ eɪ ʃ ə n
aortic	eɪ ɔ ɹ t ɪ k
fuss	f ʌ s
diarrhea	d aɪ ɝ i ə
robbery	ɹ ɑ b ɝ i
pest	p ɛ s t
gateway	ɡ eɪ t w eɪ
exponential	ɛ k s p oʊ n ɛ n ʃ ə ɫ
paddle	p æ d ə ɫ
automation	ɔ t ə m eɪ ʃ ə n
designate	d ɛ z ə ɡ n eɪ t
militia	m ə ɫ ɪ ʃ ə
hemisphere	h ɛ m ɪ s f ɪ ɹ
humidity	h j u m ɪ d ə t i
endurance	ɛ n d ɝ ə n s
dedication	d ɛ d ə k eɪ ʃ ə n
shriek	ʃ ɹ i k
pamphlet	p æ m f ɫ ə t
sandy	s æ n d i
allegiance	ə ɫ i dʒ ə n s
badge	b æ dʒ
rectangular	ɹ ɛ k t æ ŋ ɡ j ə ɫ ɝ
cupboard	k ʌ b ɝ d
recording	ɹ ə k ɔ ɹ d ɪ ŋ
gastric	ɡ æ s t ɹ ɪ k
corps	k ɔ ɹ
flatter	f ɫ æ t ɝ
feeble	f i b ə ɫ
hemorrhage	h ɛ m ɝ ɪ dʒ
breakthrough	b ɹ eɪ k θ ɹ u
believer	b ə ɫ i v ɝ
susceptibility	s ə s ɛ p t ə b ɪ ɫ ə t i
lifelong	ɫ aɪ f ɫ ɔ ŋ
indignation	ɪ n d ɪ ɡ n eɪ ʃ ə n
slack	s ɫ æ k
indicative	ɪ n d ɪ k ə t ɪ v
factual	f æ k tʃ u ə ɫ
athletic	æ θ ɫ ɛ t ɪ k
excavation	ɛ k s k ə v eɪ ʃ ə n
petroleum	p ə t ɹ oʊ ɫ i ə m
unconsciously	ʌ n k ɑ n ʃ ə s ɫ i
unpredictable	ʌ n p ɹ ɪ d ɪ k t ə b ə ɫ
prick	p ɹ ɪ k
jointly	dʒ ɔɪ n t ɫ i
bilingual	b aɪ ɫ ɪ ŋ ɡ w ə ɫ
royalty	ɹ ɔɪ ə ɫ t i
reluctance	ɹ ɪ ɫ ʌ k t ə n s
renew	ɹ ɪ n u
transplantation	t ɹ æ n z p ɫ æ n t eɪ ʃ ə n
distrust	d ɪ s t ɹ ʌ s t
aspiration	æ s p ɝ eɪ ʃ ə n
um	ʌ m
imminent	ɪ m ə n ə n t
dusty	d ʌ s t i
intrusion	ɪ n t ɹ u ʒ ə n
hepatic	h ə p æ t ɪ k
frankly	f ɹ æ ŋ k ɫ i
youthful	j u θ f ə ɫ
groundwater	ɡ ɹ aʊ n d w ɑ t ɝ
garrison	ɡ æ ɹ ɪ s ə n
catastrophe	k ə t æ s t ɹ ə f i
lone	ɫ oʊ n
asshole	æ s h oʊ ɫ
localization	ɫ oʊ k ə ɫ ə z eɪ ʃ ə n
skeletal	s k ɛ ɫ ə t ə ɫ
epoch	ɛ p ə k
erection	ɪ ɹ ɛ k ʃ ə n
digest	d aɪ dʒ ɛ s t
traveler	t ɹ æ v ə ɫ ɝ
constituent	k ə n s t ɪ tʃ u ə n t
athlete	æ θ ɫ i t
repression	ɹ i p ɹ ɛ ʃ ə n
biodiversity	b aɪ oʊ d aɪ v ɝ s ə t i
sic	s ɪ k
periphery	p ɝ ɪ f ɝ i
garbage	ɡ ɑ ɹ b ɪ dʒ
bald	b ɔ ɫ d
animation	æ n ə m eɪ ʃ ə n
managerial	m æ n ɪ dʒ ɪ ɹ i ə ɫ
microwave	m aɪ k ɹ ə w eɪ v
irrational	ɪ ɹ æ ʃ ə n ə ɫ
flick	f ɫ ɪ k
discourage	d ɪ s k ɝ ɪ dʒ
veteran	v ɛ t ɝ ə n
stout	s t aʊ t
aromatic	ɛ ɹ ə m æ t ɪ k
inherit	ɪ n h ɛ ɹ ə t
fin	f ɪ n
syntax	s ɪ n t æ k s
ammunition	æ m j ə n ɪ ʃ ə n
amazement	ə m eɪ z m ə n t
offender	ə f ɛ n d ɝ
intently	ɪ n t ɛ n t ɫ i
clinically	k ɫ ɪ n ɪ k ə ɫ i
hypothetical	h aɪ p ə θ ɛ t ə k ə ɫ
glide	ɡ ɫ aɪ d
understandable	ʌ n d ɝ s t æ n d ə b ə ɫ
lymph	ɫ ɪ m f
ramp	ɹ æ m p
cyst	s ɪ s t
steak	s t eɪ k
continual	k ə n t ɪ n j u ə ɫ
insistence	ɪ n s ɪ s t ə n s
spectroscopy	s p ɛ k t ɹ ɑ s k ə p i
unrelated	ʌ n ɹ ɪ ɫ eɪ t ɪ d
biscuit	b ɪ s k ə t
arthritis	ɑ ɹ θ ɹ aɪ t ə s
contemplation	k ɑ n t ə m p ɫ eɪ ʃ ə n
hello	h ə ɫ oʊ
saturation	s æ tʃ ɝ eɪ ʃ ə n
ineffective	ɪ n ɪ f ɛ k t ɪ v
thine	ð aɪ n
quota	k w oʊ t ə
rainbow	ɹ eɪ n b oʊ
mast	m æ s t
hammer	h æ m ɝ
memorable	m ɛ m ɝ ə b ə ɫ
paradise	p ɛ ɹ ə d aɪ s
resection	ɹ i s ɛ k ʃ ə n
promoter	p ɹ ə m oʊ t ɝ
yarn	j ɑ ɹ n
magnet	m æ ɡ n ə t
spherical	s f ɛ ɹ ɪ k ə ɫ
salmon	s æ m ə n
bribe	b ɹ aɪ b
emergent	ɪ m ɝ dʒ ə n t
unlimited	ə n ɫ ɪ m ə t ɪ d
wary	w ɛ ɹ i
incision	ɪ n s ɪ ʒ ə n
brute	b ɹ u t
pervasive	p ɝ v eɪ s ɪ v
tame	t eɪ m
cowboy	k aʊ b ɔɪ
instinctively	ɪ n s t ɪ ŋ k t ɪ v ɫ i
embodiment	ɛ m b ɑ d i m ə n t
bee	b i
permeability	p ɝ m i ə b ɪ ɫ ɪ t i
incense	ɪ n s ɛ n s
optimism	ɑ p t ə m ɪ z ə m
loosely	ɫ u s ɫ i
stochastic	s t oʊ k æ s t ɪ k
counterpart	k aʊ n t ɝ p ɑ ɹ t
stigma	s t ɪ ɡ m ə
lapse	ɫ æ p s
metropolitan	m ɛ t ɹ ə p ɑ ɫ ə t ə n
tidy	t aɪ d i
schizophrenia	s k ɪ t s ə f ɹ i n i ə
jewelry	dʒ u ə ɫ ɹ i
manifold	m æ n ə f oʊ ɫ d
mortar	m ɔ ɹ t ɝ
lever	ɫ ɛ v ɝ
grammatical	ɡ ɹ ə m æ t ə k ə ɫ
choir	k w aɪ ɝ
handbook	h æ n d b ʊ k
miniature	m ɪ n i ə tʃ ʊ ɹ
growl	ɡ ɹ aʊ ɫ
crimson	k ɹ ɪ m z ə n
vacant	v eɪ k ə n t
tactical	t æ k t ɪ k ə ɫ
renowned	ɹ ɪ n aʊ n d
prophetic	p ɹ ə f ɛ t ɪ k
noticeable	n oʊ t ə s ə b ə ɫ
vest	v ɛ s t
prominence	p ɹ ɑ m ə n ə n s
sailor	s eɪ ɫ ɝ
imaginative	ɪ m æ dʒ ə n ə t ɪ v
psychotherapy	s aɪ k oʊ θ ɛ ɹ ə p i
cricket	k ɹ ɪ k ə t
grove	ɡ ɹ oʊ v
cereal	s ɪ ɹ i ə ɫ
hiss	h ɪ s
enclosure	ɛ n k ɫ oʊ ʒ ɝ
fragrance	f ɹ eɪ ɡ ɹ ə n s
assent	ə s ɛ n t
tel	t ɛ ɫ
dispose	d ɪ s p oʊ z
mantle	m æ n t ə ɫ
usefulness	j u s f ə ɫ n ə s
persuasion	p ɝ s w eɪ ʒ ə n
outright	aʊ t ɹ aɪ t
sweetheart	s w i t h ɑ ɹ t
bass	b æ s
subgroup	s ʌ b ɡ ɹ u p
sinister	s ɪ n ɪ s t ɝ
foil	f ɔɪ ɫ
cortical	k ɔ ɹ t ə k ə ɫ
dismissal	d ɪ s m ɪ s ə ɫ
genocide	dʒ ɛ n ə s aɪ d
canopy	k æ n ə p i
adolescence	æ d ə ɫ ɛ s ə n s
repent	ɹ ɪ p ɛ n t
outsider	aʊ t s aɪ d ɝ
eventual	ə v ɛ n tʃ u ə ɫ
soothe	s u ð
invent	ɪ n v ɛ n t
foreground	f ɔ ɹ ɡ ɹ aʊ n d
braid	b ɹ eɪ d
salient	s eɪ ɫ i ə n t
metastasis	m ə t æ s t ə s ɪ s
painfully	p eɪ n f ə ɫ i
impede	ɪ m p i d
commonplace	k ɑ m ə n p ɫ eɪ s
epithelial	ɛ p ɪ θ ɛ ɫ j ə ɫ
refinement	ɹ ə f aɪ n m ə n t
uneven	ə n i v ə n
tile	t aɪ ɫ
dominion	d ə m ɪ n j ə n
affirmative	ə f ɝ m ə t ɪ v
expectancy	ɪ k s p ɛ k t ə n s i
obsession	ə b s ɛ ʃ ə n
postoperative	p oʊ s t ɔ p ə ɹ ə t ɪ v
directory	d ɝ ɛ k t ɝ i
erotic	ɪ ɹ ɑ t ɪ k
galaxy	ɡ æ ɫ ə k s i
deficient	d ɪ f ɪ ʃ ə n t
relapse	ɹ i ɫ æ p s
alcoholic	æ ɫ k ə h ɑ ɫ ɪ k
axe	æ k s
cyclic	s aɪ k ɫ ɪ k
betrayal	b ɪ t ɹ eɪ ə ɫ
messy	m ɛ s i
pneumonia	n u m oʊ n j ə
assemblage	ə s ɛ m b ɫ ə dʒ
ponder	p ɑ n d ɝ
embassy	ɛ m b ə s i
dire	d aɪ ɹ
beggar	b ɛ ɡ ɝ
mall	m ɔ ɫ
adhesion	æ d h i ʒ ə n
vitality	v aɪ t æ ɫ ə t i
repertoire	ɹ ɛ p ɝ t w ɑ ɹ
conformity	k ə n f ɔ ɹ m ə t i
monstrous	m ɑ n s t ɹ ə s
sincerely	s ɪ n s ɪ ɹ ɫ i
omit	oʊ m ɪ t
strawberry	s t ɹ ɔ b ɛ ɹ i
deadline	d ɛ d ɫ aɪ n
loaf	ɫ oʊ f
ginger	dʒ ɪ n dʒ ɝ
neurological	n ʊ ɹ ə ɫ ɑ dʒ ɪ k ə ɫ
colorful	k ʌ ɫ ɝ f ə ɫ
dispense	d ɪ s p ɛ n s
quiver	k w ɪ v ɝ
bait	b eɪ t
graduation	ɡ ɹ æ dʒ u eɪ ʃ ə n
inland	ɪ n ɫ æ n d
keyboard	k i b ɔ ɹ d
groove	ɡ ɹ u v
residue	ɹ ɛ z ə d u
semiconductor	s ɛ m i k ə n d ʌ k t ɝ
armour	ɑ ɹ m ɝ
deter	d ɪ t ɝ
ram	ɹ æ m
theoretically	θ i ɝ ɛ t ɪ k ə ɫ i
legendary	ɫ ɛ dʒ ə n d ɛ ɹ i
gotta	ɡ ɑ t ə
reckless	ɹ ɛ k ɫ ə s
mitigation	m ɪ t ɪ ɡ eɪ ʃ ə n
helplessly	h ɛ ɫ p ɫ ə s ɫ i
sociological	s oʊ s i ə ɫ ɑ dʒ ɪ k ə ɫ
unsuccessful	ʌ n s ə k s ɛ s f ə ɫ
scarlet	s k ɑ ɹ ɫ ə t
sweetness	s w i t n ə s
sincerity	s ɪ n s ɛ ɹ ə t i
constellation	k ɑ n s t ə ɫ eɪ ʃ ə n
pertinent	p ɝ t ɪ n ɪ n t
stew	s t u
librarian	ɫ aɪ b ɹ ɛ ɹ i ə n
illumination	ɪ ɫ u m ə n eɪ ʃ ə n
viewer	v j u ɝ
republican	ɹ ɪ p ʌ b ɫ ɪ k ə n
fashionable	f æ ʃ ə n ə b ə ɫ
psychologist	s aɪ k ɑ ɫ ə dʒ ə s t
atop	ə t ɑ p
volatility	v ɑ ɫ ə t ɪ ɫ ə t i
accountant	ə k aʊ n t ə n t
catalytic	k æ t ə ɫ ɪ t ɪ k
feminism	f ɛ m ɪ n ɪ z ə m
pedestrian	p ə d ɛ s t ɹ i ə n
grieve	ɡ ɹ i v
duplicate	d u p ɫ ə k ə t
plead	p ɫ i d
devour	d ɪ v aʊ ɝ
complicate	k ɑ m p ɫ ə k eɪ t
poly	p ɑ ɫ i
compel	k ə m p ɛ ɫ
regimen	ɹ ɛ dʒ ə m ə n
principally	p ɹ ɪ n s ɪ p ɫ i
congenital	k ə n dʒ ɛ n ə t ə ɫ
voluntarily	v ɑ ɫ ə n t ɛ ɹ ə ɫ i
malicious	m ə ɫ ɪ ʃ ə s
mutant	m j u t ə n t
jolt	dʒ oʊ ɫ t
minus	m aɪ n ə s
hull	h ʌ ɫ
harmless	h ɑ ɹ m ɫ ə s
muddy	m ʌ d i
backyard	b æ k j ɑ ɹ d
brim	b ɹ ɪ m
respondent	ɹ ɪ s p ɑ n d ə n t
complexion	k ə m p ɫ ɛ k ʃ ə n
attire	ə t aɪ ɝ
doctoral	d ɑ k t ɝ ə ɫ
dosage	d oʊ s ə dʒ
recreation	ɹ ɛ k ɹ i eɪ ʃ ə n
annoyance	ə n ɔɪ ə n s
luggage	ɫ ʌ ɡ ə dʒ
fidelity	f ə d ɛ ɫ ə t i
apron	eɪ p ɹ ə n
allocate	æ ɫ ə k eɪ t
shuttle	ʃ ʌ t ə ɫ
encryption	ɛ n k ɹ ɪ p ʃ ə n
exceptionally	ɪ k s ɛ p ʃ ə n ə ɫ i
warning	w ɔ ɹ n ɪ ŋ
abound	ə b aʊ n d
thieve	θ i v
alteration	ɔ ɫ t ɝ eɪ ʃ ə n
invalid	ɪ n v ə ɫ ə d
allegedly	ə ɫ ɛ dʒ ə d ɫ i
womb	w u m
interdisciplinary	ɪ n t ɝ d ɪ s ə p ɫ ə n ɛ ɹ i
colon	k oʊ ɫ ə n
soy	s ɔɪ
scalp	s k æ ɫ p
heuristic	h j ʊ ɹ ɪ s t ɪ k
communicative	k ə m j u n ə k ə t ɪ v
supremacy	s ə p ɹ ɛ m ə s i
rehearsal	ɹ ɪ h ɝ s ə ɫ
attentive	ə t ɛ n t ɪ v
ambient	æ m b i ə n t
notorious	n oʊ t ɔ ɹ i ə s
mitochondrial	m aɪ t ə k ɑ n d ɹ i ə ɫ
repository	ɹ i p ɑ z ə t ɔ ɹ i
uniquely	j u n i k ɫ i
evangelical	i v æ n dʒ ɛ ɫ ɪ k ə ɫ
amidst	ə m ɪ d s t
dizzy	d ɪ z i
sterile	s t ɛ ɹ ə ɫ
depreciation	d ɪ p ɹ i ʃ i eɪ ʃ ə n
assassination	ə s æ s ə n eɪ ʃ ə n
tease	t i z
eminent	ɛ m ə n ə n t
thoughtfully	θ ɔ t f ə ɫ i
boulder	b oʊ ɫ d ɝ
sublime	s ə b ɫ aɪ m
cartoon	k ɑ ɹ t u n
almond	ɑ m ə n d
gastrointestinal	ɡ æ s t ɹ oʊ ɪ n t ɛ s t ə n ə ɫ
pony	p oʊ n i
fragmentation	f ɹ æ ɡ m ə n t eɪ ʃ ə n
simmer	s ɪ m ɝ
germ	dʒ ɝ m
orchestra	ɔ ɹ k ə s t ɹ ə
mischief	m ɪ s tʃ ə f
elasticity	i ɫ æ s t ɪ s ə t i
accessory	æ k s ɛ s ɝ i
abrupt	ə b ɹ ʌ p t
sectional	s ɛ k ʃ ə n ə ɫ
paperwork	p eɪ p ɝ w ɝ k
bout	b aʊ t
plank	p ɫ æ ŋ k
observable	ə b z ɝ v ə b ə ɫ
enquiry	ɪ n k w aɪ ɹ i
convict	k ɑ n v ɪ k t
handy	h æ n d i
weakly	w i k ɫ i
lymphoma	ɫ ɪ m f oʊ m ə
prosperous	p ɹ ɑ s p ɝ ə s
dislocation	d ɪ s ɫ oʊ k eɪ ʃ ə n
speculative	s p ɛ k j ə ɫ ə t ɪ v
whiskey	w ɪ s k i
uniformly	j u n ə f ɔ ɹ m ɫ i
reap	ɹ i p
credible	k ɹ ɛ d ə b ə ɫ
admirable	æ d m ɝ ə b ə ɫ
correspondent	k ɔ ɹ ə s p ɑ n d ə n t
hydraulic	h aɪ d ɹ ɔ ɫ ɪ k
impatiently	ɪ m p eɪ ʃ ə n t ɫ i
questionable	k w ɛ s tʃ ə n ə b ə ɫ
relish	ɹ ɛ ɫ ɪ ʃ
prostate	p ɹ ɑ s t eɪ t
transformative	t ɹ æ n s f ɔ ɹ m ɑ t ɪ v
applause	ə p ɫ ɔ z
affordable	ə f ɔ ɹ d ə b ə ɫ
fabrication	f æ b ɹ ɪ k eɪ ʃ ə n
freight	f ɹ eɪ t
weep	w i p
earnestly	ɝ n ə s t ɫ i
pious	p aɪ ə s
crap	k ɹ æ p
bamboo	b æ m b u
likeness	ɫ aɪ k n ə s
requisite	ɹ ɛ k w ə z ə t
notch	n ɑ tʃ
pathetic	p ə θ ɛ t ɪ k
incompatible	ɪ n k ə m p æ t ə b ə ɫ
teenager	t i n eɪ dʒ ɝ
mosquito	m ə s k i t oʊ
colonization	k ɑ ɫ ə n ɪ z eɪ ʃ ə n
coward	k aʊ ɝ d
tow	t oʊ
bean	b i n
blouse	b ɫ aʊ s
overlook	oʊ v ɝ ɫ ʊ k
donkey	d ɑ ŋ k i
pilgrimage	p ɪ ɫ ɡ ɹ ə m ə dʒ
analog	æ n ə ɫ ɔ ɡ
kinase	k aɪ n eɪ z
cohesion	k oʊ h i ʒ ə n
edema	ɪ d i m ə
sweater	s w ɛ t ɝ
onward	ɔ n w ɝ d
pulp	p ʌ ɫ p
dusk	d ʌ s k
mole	m oʊ ɫ
chariot	tʃ ɛ ɹ i ə t
preface	p ɹ ɛ f ə s
underwear	ʌ n d ɝ w ɛ ɹ
exertion	ɪ ɡ z ɝ ʃ ə n
collagen	k ɑ ɫ ə ɡ ə n
brightness	b ɹ aɪ t n ə s
sturdy	s t ɝ d i
kinship	k ɪ n ʃ ɪ p
playful	p ɫ eɪ f ə ɫ
stakeholder	s t eɪ k h oʊ ɫ d ɝ
secrecy	s i k ɹ ə s i
musician	m j u z ɪ ʃ ə n
suggestive	s ə dʒ ɛ s t ɪ v
divergence	d aɪ v ɝ dʒ ə n s
dissemination	d ɪ s ɛ m ə n eɪ ʃ ə n
emptiness	ɛ m p t i n ə s
inorganic	ɪ n ɔ ɹ ɡ æ n ɪ k
staple	s t eɪ p ə ɫ
upcoming	ʌ p k ʌ m ɪ ŋ
delusion	d ɪ ɫ u ʒ ə n
celestial	s ə ɫ ɛ s tʃ ə ɫ
tuberculosis	t ə b ɝ k j ə ɫ oʊ s ɪ s
communion	k ə m j u n j ə n
arousal	ɝ aʊ z ə ɫ
referendum	ɹ ɛ f ɝ ɛ n d ə m
stereotype	s t ɛ ɹ i ə t aɪ p
physiology	f ɪ z i ɑ ɫ ə dʒ i
fascination	f æ s ə n eɪ ʃ ə n
experimentation	ɪ k s p ɛ ɹ ə m ə n t eɪ ʃ ə n
wartime	w ɔ ɹ t aɪ m
syrup	s ɝ ə p
soccer	s ɑ k ɝ
prudent	p ɹ u d ə n t
excerpt	ɛ k s ɝ p t
catalog	k æ t ə ɫ ɔ ɡ
recess	ɹ ɪ s ɛ s
rivalry	ɹ aɪ v ə ɫ ɹ i
plateau	p ɫ æ t oʊ
vase	v eɪ s
sprint	s p ɹ ɪ n t
reclaim	ɹ i k ɫ eɪ m
bandwidth	b æ n d w ɪ d θ
revise	ɹ ɪ v aɪ z
visa	v i z ə
appendix	ə p ɛ n d ɪ k s
hygiene	h aɪ dʒ i n
powerless	p aʊ ɝ ɫ ə s
delete	d ɪ ɫ i t
surf	s ɝ f
canonical	k ə n ɑ n ə k ə ɫ
steward	s t u ɝ d
jest	dʒ ɛ s t
ironic	aɪ ɹ ɑ n ɪ k
intimately	ɪ n t ə m ə t ɫ i
condemnation	k ɑ n d ə m n eɪ ʃ ə n
plunder	p ɫ ʌ n d ɝ
hem	h ɛ m
vibrant	v aɪ b ɹ ə n t
hardness	h ɑ ɹ d n ə s
electronics	ɪ ɫ ɛ k t ɹ ɑ n ɪ k s
yacht	j ɑ t
cos	k ɔ s
pigeon	p ɪ dʒ ə n
assimilation	ə s ɪ m ə ɫ eɪ ʃ ə n
calf	k æ f
offshore	ɔ f ʃ ɔ ɹ
deterioration	d ɪ t ɪ ɹ i ɝ eɪ ʃ ə n
empress	ɛ m p ɹ ɛ s
indoor	ɪ n d ɔ ɹ
franchise	f ɹ æ n tʃ aɪ z
discontent	d ɪ s k ə n t ɛ n t
interim	ɪ n t ɝ ə m
semester	s ə m ɛ s t ɝ
slick	s ɫ ɪ k
babe	b eɪ b
telescope	t ɛ ɫ ə s k oʊ p
unnatural	ə n n æ tʃ ɝ ə ɫ
bachelor	b æ tʃ ə ɫ ɝ
wail	w eɪ ɫ
noteworthy	n oʊ t w ɝ ð i
vanilla	v ə n ɪ ɫ ə
amplification	æ m p ɫ ə f ə k eɪ ʃ ə n
devoid	d ɪ v ɔɪ d
daddy	d æ d i
grunt	ɡ ɹ ʌ n t
uh	ʌ
remembrance	ɹ i m ɛ m b ɹ ə n s
authorization	ɔ θ ɝ ə z eɪ ʃ ə n
assassin	ə s æ s ə n
undesirable	ʌ n d ɪ z aɪ ɹ ə b ə ɫ
congressional	k ə n ɡ ɹ ɛ ʃ ə n ə ɫ
borrower	b ɑ ɹ oʊ ɝ
wheelchair	w i ɫ tʃ ɛ ɹ
bodyguard	b ɑ d i ɡ ɑ ɹ d
kitten	k ɪ t ə n
reconstruct	ɹ i k ə n s t ɹ ʌ k t
mindful	m aɪ n d f ə ɫ
hinder	h ɪ n d ɝ
gladly	ɡ ɫ æ d ɫ i
cling	k ɫ ɪ ŋ
mint	m ɪ n t
sleepy	s ɫ i p i
granite	ɡ ɹ æ n ə t
beginning	b ɪ ɡ ɪ n ɪ ŋ
liar	ɫ aɪ ɝ
perimeter	p ɝ ɪ m ə t ɝ
roller	ɹ oʊ ɫ ɝ
antecedent	æ n t ɛ s ə d ə n t
rap	ɹ æ p
bliss	b ɫ ɪ s
boldly	b oʊ ɫ d ɫ i
multinational	m ʌ ɫ t aɪ n æ ʃ ə n ə ɫ
convent	k ɑ n v ə n t
sniff	s n ɪ f
feat	f i t
convex	k ə n v ɛ k s
enrich	ɛ n ɹ ɪ tʃ
devise	d ɪ v aɪ z
diagonal	d aɪ æ ɡ ə n ə ɫ
subscription	s ə b s k ɹ ɪ p ʃ ə n
confinement	k ə n f aɪ n m ə n t
digestion	d aɪ dʒ ɛ s tʃ ə n
conduction	k ə n d ʌ k ʃ ə n
topology	t ə p ɔ ɫ ə dʒ i
ancestral	æ n s ɛ s t ɹ ə ɫ
predominant	p ɹ ɪ d ɑ m ə n ə n t
turkey	t ɝ k i
qualification	k w ɑ ɫ ə f ə k eɪ ʃ ə n
vigorously	v ɪ ɡ ɝ ə s ɫ i
oppressive	ə p ɹ ɛ s ɪ v
medal	m ɛ d ə ɫ
peanut	p i n ə t
proficiency	p ɹ ə f ɪ ʃ ə n s i
desperation	d ɛ s p ɝ eɪ ʃ ə n
greed	ɡ ɹ i d
equivalence	ɪ k w ɪ v ə ɫ ə n s
insurer	ɪ n ʃ ʊ ɹ ɝ
endorse	ɛ n d ɔ ɹ s
apprentice	ə p ɹ ɛ n t ə s
illuminate	ɪ ɫ u m ɪ n ɪ t
ionic	aɪ ɑ n ɪ k
hepatitis	h ɛ p ə t aɪ t ə s
telegram	t ɛ ɫ ə ɡ ɹ æ m
bio	b aɪ oʊ
genetics	dʒ ə n ɛ t ɪ k s
intricate	ɪ n t ɹ ə k ə t
disastrous	d ɪ z æ s t ɹ ə s
congratulate	k ə n ɡ ɹ æ tʃ ə ɫ eɪ t
zeal	z i ɫ
turtle	t ɝ t ə ɫ
ethnographic	ɛ θ n ə ɡ ɹ æ f ɪ k
vulgar	v ʌ ɫ ɡ ɝ
turbulent	t ɝ b j ə ɫ ə n t
intangible	ɪ n t æ n dʒ ə b ə ɫ
superstition	s u p ɝ s t ɪ ʃ ə n
propensity	p ɹ ə p ɛ n s ɪ t i
listener	ɫ ɪ s ə n ɝ
hearth	h ɑ ɹ θ
constituency	k ə n s t ɪ tʃ u ə n s i
bail	b eɪ ɫ
meaningless	m i n ɪ ŋ ɫ ə s
commercially	k ə m ɝ ʃ ə ɫ i
brigade	b ɹ ə ɡ eɪ d
aroma	ɝ oʊ m ə
carbonate	k ɑ ɹ b ə n eɪ t
throng	θ ɹ ɔ ŋ
misuse	m ɪ s j u z
mosque	m ɑ s k
evade	ɪ v eɪ d
duly	d u ɫ i
semantics	s ɪ m æ n t ɪ k s
infancy	ɪ n f ə n s i
fluorescence	f ɫ ʊ ɹ ɛ s ə n s
worthwhile	w ɝ θ w aɪ ɫ
ordinance	ɔ ɹ d ə n ə n s
linger	ɫ ɪ ŋ ɡ ɝ
polish	p ɑ ɫ ɪ ʃ
ashore	ə ʃ ɔ ɹ
yer	j ɝ
twilight	t w aɪ ɫ aɪ t
prerequisite	p ɹ i ɹ ɛ k w ə z ə t
modernization	m ɑ d ɝ n ə z eɪ ʃ ə n
pod	p ɑ d
sausage	s ɔ s ə dʒ
diabetic	d aɪ ə b ɛ t ɪ k
speechless	s p i tʃ ɫ ə s
ancestor	æ n s ɛ s t ɝ
accusation	æ k j ə z eɪ ʃ ə n
defective	d ɪ f ɛ k t ɪ v
piety	p aɪ ə t i
scribe	s k ɹ aɪ b
microphone	m aɪ k ɹ ə f oʊ n
clutch	k ɫ ʌ tʃ
violet	v aɪ ə ɫ ɪ t
multiplication	m ʌ ɫ t ə p ɫ ə k eɪ ʃ ə n
transitional	t ɹ æ n s ɪ ʃ ə n ə ɫ
greedy	ɡ ɹ i d i
modal	m oʊ d ə ɫ
inconsistency	ɪ n k ə n s ɪ s t ə n s i
sulfur	s ʌ ɫ f ɝ
payable	p eɪ ə b ə ɫ
confidentiality	k ɑ n f ə d ɛ n ʃ i æ ɫ ə t i
hurricane	h ɝ ə k eɪ n
mythology	m ə θ ɑ ɫ ə dʒ i
fling	f ɫ ɪ ŋ
